Order_ID,Order_Date,Customer_ID,Customer_Segment,Region,Category,Sub_Category,Sales,Quantity,Discount,Profit,Payment_Method
ORD-1030,2023-05-01,CUST-230,Corporate,Central,Electronics,Accessories,85.00,3,0.00,22.00,Bank Transfer
ORD-1031,2023-05-05,CUST-231,Consumer,North,Furniture,Furnishings,120.00,6,0.10,24.00,Credit Card
ORD-1032,2023-05-10,CUST-232,Consumer,South,Technology,Laptops,2100.00,1,0.10,340.00,Credit Card
ORD-1033,2023-05-14,CUST-233,Corporate,East,Office Supplies,Appliances,315.00,2,0.00,72.00,Bank Transfer
ORD-1034,2023-05-18,CUST-234,Home Office,West,Furniture,Tables,880.00,1,0.20,-45.00,Credit Card
ORD-1035,2023-05-22,CUST-235,Consumer,Central,Electronics,Phones,790.00,2,0.00,145.00,PayPal
ORD-1036,2023-05-27,CUST-236,Corporate,North,Office Supplies,Binders,42.00,7,0.10,9.50,Credit Card
ORD-1037,2023-06-02,CUST-237,Consumer,South,Technology,Accessories,95.00,3,0.00,26.00,Debit Card
ORD-1038,2023-06-06,CUST-238,Home Office,East,Furniture,Chairs,520.00,4,0.15,68.00,Credit Card
ORD-1039,2023-06-11,CUST-239,Corporate,West,Electronics,Monitors,480.00,2,0.05,82.00,Bank Transfer
ORD-1040,2023-06-16,CUST-240,Consumer,Central,Office Supplies,Paper,38.00,5,0.00,14.00,PayPal
ORD-1041,2023-06-21,CUST-241,Consumer,North,Technology,Laptops,4850.00,3,0.10,850.00,Credit Card
ORD-1042,2023-06-25,CUST-242,Corporate,South,Furniture,Bookcases,290.00,2,0.00,48.00,Credit Card
ORD-1043,2023-06-30,CUST-243,Home Office,East,Office Supplies,Art,34.00,4,0.00,11.00,Debit Card
ORD-1044,2023-07-05,CUST-244,Consumer,West,Electronics,Phones,680.00,1,0.05,98.00,Credit Card
ORD-1045,2023-07-09,CUST-245,Corporate,Central,Furniture,Tables,1400.00,2,0.35,-220.00,Bank Transfer
ORD-1046,2023-07-14,CUST-246,Consumer,North,Office Supplies,Storage,115.00,3,0.00,28.00,PayPal
ORD-1047,2023-07-19,CUST-247,Home Office,South,Technology,Accessories,160.00,4,0.05,32.00,Credit Card
ORD-1048,2023-07-24,CUST-248,Corporate,East,Electronics,Laptops,1950.00,1,0.00,390.00,Credit Card
ORD-1049,2023-07-28,CUST-249,Consumer,West,Furniture,Chairs,350.00,2,0.10,45.00,Debit Card
ORD-1050,2023-08-03,CUST-250,Corporate,Central,Office Supplies,Appliances,420.00,2,0.00,98.00,Bank Transfer
